State,County,Obesity
Georgia,Wilkes County,32.7
Georgia,Wilkinson County,32.1
Georgia,Worth County,31.6
Hawaii,Hawaii County,24.1
Hawaii,Honolulu County,21.8
Hawaii,Kalawao County,24.4
Hawaii,Kauai County,21.7
Hawaii,Maui County,23.3
Idaho,Ada County,23.5
Idaho,Adams County,27.3
Idaho,Bannock County,29.2
Idaho,Bear Lake County,26.6
Idaho,Benewah County,26.6
Idaho,Bingham County,33.7
Idaho,Blaine County,18.4
Idaho,Boise County,25.8
Idaho,Bonner County,23.7
Idaho,Bonneville County,28.4
Idaho,Boundary County,25.6
Idaho,Butte County,30
Idaho,Camas County,25.6
Idaho,Canyon County,30
Idaho,Caribou County,24.7
Idaho,Cassia County,30.8
Idaho,Clark County,29
Idaho,Clearwater County,31.6
Idaho,Custer County,26.9
Idaho,Elmore County,29.5
Idaho,Franklin County,28.2
Idaho,Fremont County,23.7
Idaho,Gem County,29.8
Idaho,Gooding County,30.8
Idaho,Idaho County,28.1
Idaho,Jefferson County,27.5
Idaho,Jerome County,32.3
Idaho,Kootenai County,24.1
Idaho,Latah County,24.8
Idaho,Lemhi County,21.7
Idaho,Lewis County,29.3
Idaho,Lincoln County,25.7
Idaho,Madison County,26
Idaho,Minidoka County,30.1
Idaho,Nez Perce County,32.2
Idaho,Oneida County,31.7
Idaho,Owyhee County,30.1
Idaho,Payette County,27.5
Idaho,Power County,29.9
Idaho,Shoshone County,30.4
Idaho,Teton County,25.5
Idaho,Twin Falls County,25.3
Idaho,Valley County,25.8
Idaho,Washington County,28.9
Illinois,Adams County,30.3
Illinois,Alexander County,32.7
Illinois,Bond County,28.9
Illinois,Boone County,30.6
Illinois,Brown County,30
Illinois,Bureau County,31
Illinois,Calhoun County,29.5
Illinois,Carroll County,30.5
Illinois,Cass County,30.3
Illinois,Champaign County,27.4
Illinois,Christian County,32.2
Illinois,Clark County,31.1
Illinois,Clay County,29.6
Illinois,Clinton County,28
Illinois,Coles County,29.4
Illinois,Cook County,26.2
Illinois,Crawford County,32.6
Illinois,Cumberland County,28.7
Illinois,DeKalb County,30.1
Illinois,De Witt County,30.3
Illinois,Douglas County,30.2
Illinois,DuPage County,24.8
Illinois,Edgar County,32.5
Illinois,Edwards County,27.3
Illinois,Effingham County,27.1
Illinois,Fayette County,32.2
Illinois,Ford County,30.7
Illinois,Franklin County,29.7
Illinois,Fulton County,30.3
Illinois,Gallatin County,29.9
Illinois,Greene County,30.4
Illinois,Grundy County,34.2
Illinois,Hamilton County,29.1
Illinois,Hancock County,28.1
Illinois,Hardin County,31.1
Illinois,Henderson County,31.1
Illinois,Henry County,28.5
Illinois,Iroquois County,32.4
Illinois,Jackson County,27.9
Illinois,Jasper County,30
Illinois,Jefferson County,33
Illinois,Jersey County,28.4
Illinois,Jo Daviess County,26.8
Illinois,Johnson County,28.9
Illinois,Kane County,26.9
Illinois,Kankakee County,32.8
Illinois,Kendall County,28.1
Illinois,Knox County,32.4
Illinois,Lake County,25.2
Illinois,LaSalle County,29.4
Illinois,Lawrence County,30.9
Illinois,Lee County,26.5
Illinois,Livingston County,30.8
Illinois,Logan County,32.5
Illinois,McDonough County,29.4
Illinois,McHenry County,26.8
Illinois,McLean County,31.6
Illinois,Macon County,32.1
Illinois,Macoupin County,29.9
Illinois,Madison County,32
Illinois,Marion County,32.7
Illinois,Marshall County,29.8
Illinois,Mason County,31.6
Illinois,Massac County,33.8
Illinois,Menard County,28.9
Illinois,Mercer County,32.4
Illinois,Monroe County,29.3
Illinois,Montgomery County,24.9
Illinois,Morgan County,29.9
Illinois,Moultrie County,29.7
Illinois,Ogle County,27.6
Illinois,Peoria County,27
Illinois,Perry County,28.4
Illinois,Piatt County,30.1
Illinois,Pike County,29
Illinois,Pope County,30.7
Illinois,Pulaski County,33.3
Illinois,Putnam County,28.8
Illinois,Randolph County,31.1
Illinois,Richland County,30.1
Illinois,Rock Island County,27.3
Illinois,St. Clair County,29.7
Illinois,Saline County,30.4
Illinois,Sangamon County,30.6
Illinois,Schuyler County,29.1
Illinois,Scott County,29.2
Illinois,Shelby County,29.8
Illinois,Stark County,31.8
Illinois,Stephenson County,27.7
Illinois,Tazewell County,26.8
Illinois,Union County,31
Illinois,Vermilion County,29.6
Illinois,Wabash County,29.9
Illinois,Warren County,30.4
Illinois,Washington County,32
Illinois,Wayne County,29
Illinois,White County,30.6
Illinois,Whiteside County,28.2
Illinois,Will County,33
Illinois,Williamson County,30.2
Illinois,Winnebago County,29.1
Illinois,Woodford County,30.3
Indiana,Adams County,30.4
Indiana,Allen County,32.2
Indiana,Bartholomew County,32
Indiana,Benton County,32.8
Indiana,Blackford County,33.5
Indiana,Boone County,27.8
Indiana,Brown County,29.4
Indiana,Carroll County,33.6
Indiana,Cass County,34.5
Indiana,Clark County,31.8
Indiana,Clay County,37.8
Indiana,Clinton County,29.4
Indiana,Crawford County,38.4
Indiana,Daviess County,31.4
Indiana,Dearborn County,33.9
Indiana,Decatur County,28.6
Indiana,DeKalb County,29
Indiana,Delaware County,33.2
Indiana,Dubois County,34.1
Indiana,Elkhart County,29.5
Indiana,Fayette County,34.4
Indiana,Floyd County,29.5
Indiana,Fountain County,30.6
Indiana,Franklin County,28.6
Indiana,Fulton County,31.6
Indiana,Gibson County,29.2
Indiana,Grant County,31.7
Indiana,Greene County,33.1
Indiana,Hamilton County,22
Indiana,Hancock County,28.8
Indiana,Harrison County,31
Indiana,Hendricks County,31.8
Indiana,Henry County,29.7
Indiana,Howard County,37.8
Indiana,Huntington County,34.8
Indiana,Jackson County,31.6
Indiana,Jasper County,33.5
Indiana,Jay County,34.6
Indiana,Jefferson County,31.8
Indiana,Jennings County,28.4
Indiana,Johnson County,29.1
Indiana,Knox County,33.1
Indiana,Kosciusko County,30.8
Indiana,LaGrange County,32.7
Indiana,Lake County,35.9
Indiana,LaPorte County,31.8
Indiana,Lawrence County,29.3
Indiana,Madison County,37.3
Indiana,Marion County,31.9
Indiana,Marshall County,31.4
Indiana,Martin County,29.1
Indiana,Miami County,33
Indiana,Monroe County,25.3
Indiana,Montgomery County,31.2
Indiana,Morgan County,33.2
Indiana,Newton County,34.1
Indiana,Noble County,33.9
Indiana,Ohio County,30.8
Indiana,Orange County,31.2
Indiana,Owen County,36.8
Indiana,Parke County,29.3
Indiana,Perry County,32.1
Indiana,Pike County,31.5
Indiana,Porter County,29.3
Indiana,Posey County,31.6
Indiana,Pulaski County,34.5
Indiana,Putnam County,32.3
Indiana,Randolph County,34.8
Indiana,Ripley County,31.8
Indiana,Rush County,32.4
Indiana,St. Joseph County,28.7
Indiana,Scott County,28.5
Indiana,Shelby County,33.8
Indiana,Spencer County,30.4
Indiana,Starke County,35
Indiana,Steuben County,32.7
Indiana,Sullivan County,31.5
Indiana,Switzerland County,27.9
Indiana,Tippecanoe County,27.1
Indiana,Tipton County,32.1
Indiana,Union County,33.2
Indiana,Vanderburgh County,32.4
Indiana,Vermillion County,28.3
Indiana,Vigo County,32
Indiana,Wabash County,36.8
Indiana,Warren County,28.5
Indiana,Warrick County,32.4
Indiana,Washington County,30.5
Indiana,Wayne County,28.2
Indiana,Wells County,28.6
Indiana,White County,34.6
Indiana,Whitley County,33.7
Iowa,Adair County,31.8
Iowa,Adams County,33.8
Iowa,Allamakee County,28
Iowa,Appanoose County,30
Iowa,Audubon County,34.1
Iowa,Benton County,29.7
Iowa,Black Hawk County,28.5
Iowa,Boone County,32
Iowa,Bremer County,28.1
Iowa,Buchanan County,30
Iowa,Buena Vista County,27.4
Iowa,Butler County,27.2
Iowa,Calhoun County,30.4
Iowa,Carroll County,31.7
Iowa,Cass County,35.4
Iowa,Cedar County,35.4
Iowa,Cerro Gordo County,29.4
Iowa,Cherokee County,27.7
Iowa,Chickasaw County,30.6
Iowa,Clarke County,31.3
Iowa,Clay County,29.6
Iowa,Clayton County,30.8
Iowa,Clinton County,30
Iowa,Crawford County,28.8
Iowa,Dallas County,29.4
Iowa,Davis County,32
Iowa,Decatur County,30.9
Iowa,Delaware County,34.5
Iowa,Des Moines County,32.3
Iowa,Dickinson County,28.5
Iowa,Dubuque County,27.2
Iowa,Emmet County,32.1
Iowa,Fayette County,34.9
Iowa,Floyd County,31
Iowa,Franklin County,31
Iowa,Fremont County,33.3
Iowa,Greene County,29.5
Iowa,Grundy County,31.7
Iowa,Guthrie County,32.8
Iowa,Hamilton County,31.7
Iowa,Hancock County,26.1
Iowa,Hardin County,33.8
Iowa,Harrison County,31.6
Iowa,Henry County,31
Iowa,Howard County,29.8
Iowa,Humboldt County,33.6
Iowa,Ida County,30.9
Iowa,Iowa County,29.1
Iowa,Jackson County,30.7
Iowa,Jasper County,35.1
Iowa,Jefferson County,30.2
Iowa,Johnson County,24
Iowa,Jones County,28.5
Iowa,Keokuk County,33.6
Iowa,Kossuth County,31.1
Iowa,Lee County,35.3
Iowa,Linn County,27.9
Iowa,Louisa County,32.6
Iowa,Lucas County,31.9
Iowa,Lyon County,30
Iowa,Madison County,30.8
Iowa,Mahaska County,27.2
Iowa,Marion County,29.8
Iowa,Marshall County,32
Iowa,Mills County,28.3
Iowa,Mitchell County,27.4
Iowa,Monona County,27.4
Iowa,Monroe County,33.8
Iowa,Montgomery County,32.2
Iowa,Muscatine County,34
Iowa,O'Brien County,30.5
Iowa,Osceola County,29.8
Iowa,Page County,32.2
Iowa,Palo Alto County,28.3
Iowa,Plymouth County,33.4
Iowa,Pocahontas County,30.1
Iowa,Polk County,28.2
Iowa,Pottawattamie County,33.6
Iowa,Poweshiek County,29.4
Iowa,Ringgold County,30
Iowa,Sac County,29.2
Iowa,Scott County,28.5
Iowa,Shelby County,31.9
Iowa,Sioux County,27.4
Iowa,Story County,25.1
Iowa,Tama County,28.9
Iowa,Taylor County,31.2
Iowa,Union County,33.1
Iowa,Van Buren County,30.2
Iowa,Wapello County,30.4
Iowa,Warren County,31
Iowa,Washington County,30.4
