State,Unemployment_rate_2010,Counties
KY,10.6,Bullitt County
KY,12,Butler County
KY,10.5,Caldwell County
KY,8.1,Calloway County
KY,9.1,Campbell County
KY,9.1,Carlisle County
KY,14.5,Carroll County
KY,14.1,Carter County
KY,11,Casey County
KY,11.7,Christian County
KY,10.8,Clark County
KY,14.5,Clay County
KY,11,Clinton County
KY,9.9,Crittenden County
KY,11.8,Cumberland County
KY,9.3,Daviess County
KY,13.3,Edmonson County
KY,15.8,Elliott County
KY,13.5,Estill County
KY,7.4,Fayette County
KY,11.5,Fleming County
KY,13.5,Floyd County
KY,8.7,Franklin County
KY,11.5,Fulton County
KY,12.3,Gallatin County
KY,11.1,Garrard County
KY,11.8,Grant County
KY,9.5,Graves County
KY,14.2,Grayson County
KY,11.8,Green County
KY,11.5,Greenup County
KY,10.3,Hancock County
KY,9.7,Hardin County
KY,11.9,Harlan County
KY,11.1,Harrison County
KY,10.4,Hart County
KY,10.3,Henderson County
KY,9.9,Henry County
KY,8.2,Hickman County
KY,9.7,Hopkins County
KY,14.1,Jackson County
KY,10,Jefferson County
KY,8.5,Jessamine County
KY,12.6,Johnson County
KY,9.8,Kenton County
KY,13.5,Knott County
KY,13.5,Knox County
KY,11.3,Larue County
KY,11.4,Laurel County
KY,13.6,Lawrence County
KY,12.6,Lee County
KY,12.9,Leslie County
KY,11.4,Letcher County
KY,13.8,Lewis County
KY,12.8,Lincoln County
KY,12,Livingston County
KY,9.9,Logan County
KY,11.6,Lyon County
KY,9.1,McCracken County
KY,14.5,McCreary County
KY,10.2,McLean County
KY,8.5,Madison County
KY,20.5,Magoffin County
KY,12.6,Marion County
KY,10.5,Marshall County
KY,10.3,Martin County
KY,11.3,Mason County
KY,11.8,Meade County
KY,15.5,Menifee County
KY,11.2,Mercer County
KY,13.3,Metcalfe County
KY,10.7,Monroe County
KY,12.2,Montgomery County
KY,13,Morgan County
