Total SNAP,Life Expectancy,County,Percent Smokers,State,Percent Obese,Unemployment_rate_2010,min_wage
9844,80.27,Phillips County,21.3,Colorado,22.6,5.3,7.78
307056,86.0,Pitkin County,13.8,Colorado,14.2,8.1,7.78
27203,77.55,Prowers County,22.5,Colorado,25.5,7.0,7.78
2306,77.53,Pueblo County,25.6,Colorado,26.6,10.4,7.78
401081,79.19,Rio Blanco County,19.0,Colorado,21.1,8.9,7.78
348860,77.72,Rio Grande County,20.2,Colorado,22.7,10.6,7.78
10896,82.3,Routt County,14.9,Colorado,13.4,9.3,7.78
567152,79.55,Saguache County,21.6,Colorado,23,10.1,7.78
344858,79.63,San Juan County,20.2,Colorado,20.2,12.5,7.78
81338,83.42,San Miguel County,12.2,Colorado,16.9,7.8,7.78
168332,78.26,Sedgwick County,24.0,Colorado,24.1,7.4,7.78
28359,86.33,Summit County,14.5,Colorado,14.5,6.7,7.78
35674,80.6,Teller County,23.6,Colorado,17.8,9.4,7.78
55340,79.99,Washington County,22.4,Colorado,23.2,5.9,7.78
36799,79.29,Yuma County,21.8,Colorado,25.1,5.6,7.78
41253,81.55,Fairfield County,15.1,Connecticut,18.6,8.4,8.25
504,80.07,Hartford County,18.1,Connecticut,24.6,9.5,8.25
10447,80.69,Litchfield County,20.1,Connecticut,21.9,8.7,8.25
67815,80.78,Middlesex County,18.9,Connecticut,23.9,7.9,8.25
50117,79.79,New Haven County,20.9,Connecticut,27.4,10.0,8.25
142258,80.26,New London County,20.0,Connecticut,25,8.9,8.25
20113,81.19,Tolland County,16.5,Connecticut,23.4,7.8,8.25
16858,78.87,Windham County,21.3,Connecticut,30,10.3,8.25
2624,77.34,Kent County,24.1,Delaware,33.8,8.9,7.25
192944,78.49,New Castle County,20.4,Delaware,26.7,8.3,7.25
9850,78.46,Sussex County,25.1,Delaware,29.9,8.5,7.25
28152,78.27,Alachua County,17.9,Florida,25.2,8.0,7.79
24035,75.1,Baker County,28.3,Florida,36.7,11.3,7.79
6683,76.67,Bay County,26.3,Florida,28.5,10.5,7.79
1825,75.84,Bradford County,29.5,Florida,35.7,9.9,7.79
727,78.55,Brevard County,24.7,Florida,28.4,11.3,7.79
1794,79.23,Broward County,17.9,Florida,24.1,10.2,7.79
27363,75.91,Calhoun County,28.5,Florida,36.1,10.1,7.79
2058,80.22,Charlotte County,25.7,Florida,25.7,12.7,7.79
224,77.2,Citrus County,29.2,Florida,29.3,13.7,7.79
1097,77.93,Clay County,23.1,Florida,28.2,9.9,7.79
3199,82.55,Collier County,19.5,Florida,20.9,11.6,7.79
1643,75.24,Columbia County,29.9,Florida,34.9,10.8,7.79
776,75.21,Dixie County,34.4,Florida,35.7,12.9,7.79
6129,76.31,Duval County,24.1,Florida,28.4,11.4,7.79
9457,76.17,Escambia County,26.1,Florida,30,10.1,7.79
9246,79.57,Flagler County,27.1,Florida,28.4,12.4,7.79
12574,76.45,Franklin County,29.5,Florida,26.1,8.0,7.79
146863,74.76,Gadsden County,23.6,Florida,37.1,11.8,7.79
291,76.73,Gilchrist County,27.9,Florida,32.1,10.8,7.79
9790,79.2,Glades County,27.8,Florida,35.5,9.5,7.79
6356,76.52,Gulf County,28.9,Florida,31.1,10.3,7.79
12339,75.77,Hamilton County,31.4,Florida,37.3,11.4,7.79
6795,78.23,Hardee County,23.3,Florida,36.9,11.5,7.79
3361,76.71,Hendry County,24.1,Florida,34.4,14.0,7.79
9344,77.42,Hernando County,28.3,Florida,28.7,13.5,7.79
12391,78.79,Highlands County,26.3,Florida,30.2,12.5,7.79
8957,78.2,Hillsborough County,20.8,Florida,26.8,10.7,7.79
14940,74.78,Holmes County,29.4,Florida,30.6,10.4,7.79
2206,80.08,Indian River County,24.3,Florida,21.8,13.9,7.79
1911,76.22,Jackson County,25.0,Florida,33.9,9.1,7.79
114366,76.61,Jefferson County,25.8,Florida,35.1,9.9,7.79
8597,76.86,Lafayette County,29.6,Florida,34.7,7.3,7.79
7335,78.88,Lake County,23.8,Florida,29.1,11.8,7.79
749,80.3,Lee County,22.9,Florida,25.9,12.5,7.79
1018,79.0,Leon County,17.0,Florida,28.2,7.9,7.79
1357,75.44,Levy County,28.2,Florida,33.7,11.9,7.79
48,76.11,Liberty County,27.8,Florida,35.7,8.8,7.79
2676,75.58,Madison County,27.3,Florida,36.3,10.0,7.79
274,79.91,Manatee County,23.4,Florida,25.1,11.4,7.79
9752,77.53,Marion County,24.9,Florida,31.6,13.6,7.79
10060,80.92,Martin County,22.3,Florida,20.1,10.8,7.79
1108,80.09,Miami-Dade County,16.1,Florida,21.8,11.1,7.79
4673,78.3,Monroe County,22.9,Florida,18.9,7.8,7.79
4810,77.65,Nassau County,24.3,Florida,27.8,10.6,7.79
2955,78.3,Okaloosa County,25.5,Florida,28.5,8.4,7.79
9244,75.95,Okeechobee County,29.4,Florida,31.7,12.6,7.79
18722,79.12,Orange County,18.8,Florida,25.7,10.8,7.79
19030,78.82,Osceola County,22.0,Florida,29,12.5,7.79
10078,80.83,Palm Beach County,18.6,Florida,22.4,11.0,7.79
13643,77.56,Pasco County,27.4,Florida,28.5,11.9,7.79
13780,78.47,Pinellas County,26.6,Florida,23.8,10.8,7.79
11925,77.82,Polk County,23.8,Florida,32.1,12.1,7.79
9797,74.84,Putnam County,28.2,Florida,33.8,13.4,7.79
10631,77.94,Santa Rosa County,24.8,Florida,28,9.3,7.79
14196,81.11,Sarasota County,23.5,Florida,20.2,11.6,7.79
14333,80.08,Seminole County,20.3,Florida,24.9,10.6,7.79
12478,80.99,Sumter County,24.8,Florida,28.1,13.3,7.79
1060,75.76,Suwannee County,28.9,Florida,31,9.8,7.79
10538,75.67,Taylor County,31.7,Florida,35.9,10.6,7.79
10846,68.12,Union County,31.8,Florida,38,8.5,7.79
1894,77.58,Volusia County,26.8,Florida,25.8,12.3,7.79
5459,76.53,Wakulla County,27.6,Florida,36.2,8.4,7.79
5596,77.11,Walton County,27.5,Florida,26.7,9.4,7.79
3741,74.98,Washington County,30.1,Florida,36.4,10.6,7.79
4711,74.38,Appling County,25.1,Georgia,34.3,11.8,7.25
14189,73.73,Atkinson County,27.7,Georgia,30.8,15.2,7.25
14497,72.96,Bacon County,27.8,Georgia,30.8,10.6,7.25
5545,77.57,Baker County,26.5,Georgia,32.6,12.1,7.25
9110,76.18,Baldwin County,25.0,Georgia,32,15.4,7.25
9247,77.53,Banks County,25.2,Georgia,28.2,9.7,7.25
7392,76.29,Barrow County,23.5,Georgia,32.2,10.8,7.25
4421,75.97,Bartow County,26.5,Georgia,29.4,12.2,7.25
13899,73.63,Ben Hill County,28.2,Georgia,33.4,15.9,7.25
14207,75.16,Berrien County,28.9,Georgia,30.1,13.0,7.25
5255,73.54,Bibb County,23.5,Georgia,30.3,11.6,7.25
8820,75.62,Bleckley County,25.7,Georgia,30.1,12.5,7.25
8957,74.77,Brantley County,30.0,Georgia,31,12.7,7.25
7102,75.68,Brooks County,28.3,Georgia,33.3,9.6,7.25
2954,75.87,Bryan County,20.7,Georgia,28.3,9.6,7.25
12432,76.99,Bulloch County,21.9,Georgia,33,10.1,7.25
12740,73.33,Burke County,26.7,Georgia,35.9,12.2,7.25
3788,74.34,Butts County,28.3,Georgia,33.6,11.5,7.25
7353,73.99,Calhoun County,26.1,Georgia,31.7,8.8,7.25
7490,77.52,Camden County,24.1,Georgia,28.6,9.9,7.25
5635,74.4,Candler County,24.4,Georgia,32,8.8,7.25
52517,75.36,Carroll County,25.7,Georgia,31.4,11.7,7.25
32271,78.13,Catoosa County,25.2,Georgia,31,8.6,7.25
34781,75.45,Charlton County,30.1,Georgia,31.5,10.6,7.25
14535,76.65,Chatham County,22.5,Georgia,26.8,9.9,7.25
174,77.05,Chattahoochee County,19.6,Georgia,30.5,10.9,7.25
1034,74.62,Chattooga County,30.6,Georgia,32.8,11.7,7.25
1144,79.14,Cherokee County,20.1,Georgia,27.9,8.8,7.25
3676,78.32,Clarke County,18.0,Georgia,26.7,9.3,7.25
3791,74.19,Clay County,27.7,Georgia,33.6,11.6,7.25
6323,76.64,Clayton County,22.2,Georgia,36.1,13.5,7.25
6323,73.14,Clinch County,26.7,Georgia,32.7,11.1,7.25
39758,79.69,Cobb County,17.3,Georgia,23.4,9.3,7.25
4688,75.07,Coffee County,27.2,Georgia,30.5,15.8,7.25
815,74.98,Colquitt County,28.4,Georgia,32.6,9.7,7.25
3850,79.31,Columbia County,19.1,Georgia,26.4,7.3,7.25
3941,74.29,Cook County,29.7,Georgia,31.7,11.7,7.25
6976,77.83,Coweta County,22.4,Georgia,29.6,9.7,7.25
3900,76.6,Crawford County,25.9,Georgia,30.7,11.4,7.25
26995,74.7,Crisp County,27.9,Georgia,33.8,14.2,7.25
54,75.71,Dade County,24.1,Georgia,30.9,8.7,7.25
