Unemployment_rate_2010,CountyState,Percent Obese,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,County,State,Life expectancy 2010,Percent Smokers,min_wage
13.3,Sumter County Georgia,37.2,2521.0,16754.0,19275.0,Sumter County,Georgia,74.92,24.8,7.25
11.0,Union County Georgia,26.6,2820.0,15633.0,18453.0,Union County,Georgia,78.39,22.4,7.25
17.2,Warren County Georgia,37.2,573.0,3139.0,3712.0,Warren County,Georgia,74.21,28.0,7.25
14.5,Washington County Georgia,34.7,2164.0,8374.0,10538.0,Washington County,Georgia,74.96,26.9,7.25
14.5,Washington County Georgia,34.7,6992.0,39316.0,46308.0,Washington County,Georgia,74.96,26.9,7.25
14.5,Washington County Georgia,34.7,869.0,3569.0,4438.0,Washington County,Georgia,74.96,26.9,7.25
12.0,Wayne County Georgia,33.4,3755.0,24901.0,28656.0,Wayne County,Georgia,74.91,26.5,7.25
12.8,Webster County Georgia,31.1,2503.0,10246.0,12749.0,Webster County,Georgia,77.67,24.8,7.25
11.9,Whitfield County Georgia,28.4,1561.0,6302.0,7863.0,Whitfield County,Georgia,76.81,25.6,7.25
12.4,Wilcox County Georgia,31,763.0,3859.0,4622.0,Wilcox County,Georgia,74.92,28.3,7.25
13.2,Wilkes County Georgia,32.7,948.0,3113.0,4061.0,Wilkes County,Georgia,74.73,27.8,7.25
14.0,Wilkinson County Georgia,32.1,579.0,1540.0,2119.0,Wilkinson County,Georgia,74.84,25.5,7.25
12.1,Worth County Georgia,31.6,3477.0,14100.0,17577.0,Worth County,Georgia,76.59,28.3,7.25
7.7,Adams County Illinois,30.3,819.0,21487.0,22306.0,Adams County,Illinois,78.67,23.7,7.25
7.0,Brown County Illinois,30,2671.0,35662.0,38333.0,Brown County,Illinois,78.89,26.8,7.25
10.0,Calhoun County Illinois,29.5,553.0,8307.0,8860.0,Calhoun County,Illinois,78.82,23.1,7.25
10.4,Carroll County Illinois,30.5,947.0,11793.0,12740.0,Carroll County,Illinois,78.9,22.2,7.25
10.4,Carroll County Illinois,30.5,911.0,6985.0,7896.0,Carroll County,Illinois,78.9,22.2,7.25
10.4,Carroll County Illinois,30.5,72.0,3986.0,4058.0,Carroll County,Illinois,78.9,22.2,7.25
10.1,Christian County Illinois,32.2,111.0,9760.0,9871.0,Christian County,Illinois,77.9,28.2,7.25
11.3,Clay County Illinois,29.6,354.0,14214.0,14568.0,Clay County,Illinois,77.46,25.8,7.25
11.3,Clay County Illinois,29.6,3384.0,51661.0,55045.0,Clay County,Illinois,77.46,25.8,7.25
7.3,Clinton County Illinois,28,173.0,4434.0,4607.0,Clinton County,Illinois,79.52,23.9,7.25
10.9,Cook County Illinois,26.2,4.0,798.0,802.0,Cook County,Illinois,78.44,21.9,7.25
9.4,Ford County Illinois,30.7,524.0,4361.0,4885.0,Ford County,Illinois,77.51,26.3,7.25
12.3,Franklin County Illinois,29.7,562.0,5621.0,6183.0,Franklin County,Illinois,75.36,27.7,7.25
12.3,Franklin County Illinois,29.7,63.0,2697.0,2760.0,Franklin County,Illinois,75.36,27.7,7.25
12.3,Franklin County Illinois,29.7,4281.0,104154.0,108435.0,Franklin County,Illinois,75.36,27.7,7.25
11.7,Fulton County Illinois,30.3,2059.0,39465.0,41524.0,Fulton County,Illinois,78.03,25.7,7.25
9.6,Gallatin County Illinois,29.9,62.0,4688.0,4750.0,Gallatin County,Illinois,75.38,27.2,7.25
9.6,Gallatin County Illinois,29.9,266.0,8862.0,9128.0,Gallatin County,Illinois,75.38,27.2,7.25
9.3,Greene County Illinois,30.4,1787.0,12954.0,14741.0,Greene County,Illinois,77.62,26.7,7.25
9.4,Hamilton County Illinois,29.1,1610.0,6565.0,8175.0,Hamilton County,Illinois,77.76,24.8,7.25
10.6,Hancock County Illinois,28.1,103.0,1847.0,1950.0,Hancock County,Illinois,79.75,23.5,7.25
10.6,Hancock County Illinois,28.1,1606.0,34168.0,35774.0,Hancock County,Illinois,79.75,23.5,7.25
9.1,Henry County Illinois,28.5,103.0,3661.0,3764.0,Henry County,Illinois,79.08,22.8,7.25
8.2,Jackson County Illinois,27.9,142.0,3925.0,4067.0,Jackson County,Illinois,78.21,19.0,7.25
10.2,Jefferson County Illinois,33,89.0,4205.0,4294.0,Jefferson County,Illinois,77.27,25.5,7.25
10.2,Jefferson County Illinois,33,185.0,2303.0,2488.0,Jefferson County,Illinois,77.27,25.5,7.25
9.6,Knox County Illinois,32.4,528.0,14805.0,15333.0,Knox County,Illinois,77.62,26.2,7.25
9.8,Lake County Illinois,25.2,343.0,5897.0,6240.0,Lake County,Illinois,80.83,17.2,7.25
9.8,Lake County Illinois,25.2,868.0,24463.0,25331.0,Lake County,Illinois,80.83,17.2,7.25
10.7,Lawrence County Illinois,30.9,453.0,4336.0,4789.0,Lawrence County,Illinois,76.14,28.7,7.25
10.7,Lawrence County Illinois,30.9,393.0,3720.0,4113.0,Lawrence County,Illinois,76.14,28.7,7.25
10.0,Lee County Illinois,26.5,764.0,8454.0,9218.0,Lee County,Illinois,78.31,24.8,7.25
10.0,Livingston County Illinois,30.8,117.0,5398.0,5515.0,Livingston County,Illinois,78.06,27.9,7.25
10.0,Livingston County Illinois,30.8,69.0,2550.0,2619.0,Livingston County,Illinois,78.06,27.9,7.25
10.5,McHenry County Illinois,26.8,95.0,6633.0,6728.0,McHenry County,Illinois,79.89,20.2,7.25
7.1,McLean County Illinois,31.6,3417.0,36972.0,40389.0,McLean County,Illinois,79.88,17.2,7.25
9.8,Madison County Illinois,32,88.0,4171.0,4259.0,Madison County,Illinois,77.5,25.1,7.25
9.8,Madison County Illinois,32,1264.0,34308.0,35572.0,Madison County,Illinois,77.5,25.1,7.25
9.8,Madison County Illinois,32,7146.0,48428.0,55574.0,Madison County,Illinois,77.5,25.1,7.25
10.8,Marion County Illinois,32.7,144.0,9216.0,9360.0,Marion County,Illinois,76.44,27.0,7.25
10.8,Marion County Illinois,32.7,11380.0,137867.0,149247.0,Marion County,Illinois,76.44,27.0,7.25
10.3,Marshall County Illinois,29.8,4667.0,85087.0,89754.0,Marshall County,Illinois,78.18,23.5,7.25
12.2,Mason County Illinois,31.6,8279.0,151377.0,159656.0,Mason County,Illinois,77.32,25.9,7.25
12.2,Mason County Illinois,31.6,14394.0,11800.0,26194.0,Mason County,Illinois,77.32,25.9,7.25
9.5,Massac County Illinois,33.8,942.0,9026.0,9968.0,Massac County,Illinois,75.89,24.7,7.25
10.0,Mercer County Illinois,32.4,7617.0,43242.0,50859.0,Mercer County,Illinois,79.41,24.3,7.25
7.3,Monroe County Illinois,29.3,4153.0,21927.0,26080.0,Monroe County,Illinois,80.23,20.5,7.25
7.3,Monroe County Illinois,29.3,9780.0,66490.0,76270.0,Monroe County,Illinois,80.23,20.5,7.25
12.3,Montgomery County Illinois,24.9,16.0,3.0,19.0,Montgomery County,Illinois,77.89,28.1,7.25
8.4,Morgan County Illinois,29.9,3361.0,1632.0,4993.0,Morgan County,Illinois,78.36,25.0,7.25
11.0,Perry County Illinois,28.4,446.0,7930.0,8376.0,Perry County,Illinois,77.45,26.4,7.25
9.4,Pope County Illinois,30.7,1014.0,11374.0,12388.0,Pope County,Illinois,78.04,25.3,7.25
12.4,Pulaski County Illinois,33.3,303.0,6566.0,6869.0,Pulaski County,Illinois,74.77,25.1,7.25
12.0,Putnam County Illinois,28.8,2555.0,16475.0,19030.0,Putnam County,Illinois,79.74,23.7,7.25
8.7,Scott County Illinois,29.2,124.0,7526.0,7650.0,Scott County,Illinois,78.74,23.5,7.25
8.7,Scott County Illinois,29.2,647.0,17677.0,18324.0,Scott County,Illinois,78.74,23.5,7.25
9.7,Stark County Illinois,31.8,1004.0,10278.0,11282.0,Stark County,Illinois,78.41,23.4,7.25
12.0,Union County Illinois,31,761.0,12346.0,13107.0,Union County,Illinois,76.63,25.4,7.25
7.8,Warren County Illinois,30.4,491.0,15110.0,15601.0,Warren County,Illinois,78.47,24.7,7.25
7.2,Washington County Illinois,32,698.0,8349.0,9047.0,Washington County,Illinois,78.92,21.8,7.25
7.2,Washington County Illinois,32,92.0,3293.0,3385.0,Washington County,Illinois,78.92,21.8,7.25
7.2,Washington County Illinois,32,138.0,4200.0,4338.0,Washington County,Illinois,78.92,21.8,7.25
