Percent Obese,CountyState
32,Vigo County Indiana
36.8,Wabash County Indiana
28.5,Warren County Indiana
32.4,Warrick County Indiana
30.5,Washington County Indiana
28.2,Wayne County Indiana
28.6,Wells County Indiana
34.6,White County Indiana
33.7,Whitley County Indiana
31.8,Adair County Iowa
33.8,Adams County Iowa
28,Allamakee County Iowa
30,Appanoose County Iowa
34.1,Audubon County Iowa
29.7,Benton County Iowa
28.5,Black Hawk County Iowa
32,Boone County Iowa
28.1,Bremer County Iowa
30,Buchanan County Iowa
27.4,Buena Vista County Iowa
27.2,Butler County Iowa
30.4,Calhoun County Iowa
31.7,Carroll County Iowa
35.4,Cass County Iowa
35.4,Cedar County Iowa
29.4,Cerro Gordo County Iowa
27.7,Cherokee County Iowa
30.6,Chickasaw County Iowa
31.3,Clarke County Iowa
29.6,Clay County Iowa
30.8,Clayton County Iowa
30,Clinton County Iowa
28.8,Crawford County Iowa
29.4,Dallas County Iowa
32,Davis County Iowa
30.9,Decatur County Iowa
34.5,Delaware County Iowa
32.3,Des Moines County Iowa
28.5,Dickinson County Iowa
27.2,Dubuque County Iowa
32.1,Emmet County Iowa
34.9,Fayette County Iowa
31,Floyd County Iowa
31,Franklin County Iowa
33.3,Fremont County Iowa
29.5,Greene County Iowa
31.7,Grundy County Iowa
32.8,Guthrie County Iowa
31.7,Hamilton County Iowa
26.1,Hancock County Iowa
33.8,Hardin County Iowa
31.6,Harrison County Iowa
31,Henry County Iowa
29.8,Howard County Iowa
33.6,Humboldt County Iowa
30.9,Ida County Iowa
29.1,Iowa County Iowa
30.7,Jackson County Iowa
35.1,Jasper County Iowa
30.2,Jefferson County Iowa
24,Johnson County Iowa
28.5,Jones County Iowa
33.6,Keokuk County Iowa
31.1,Kossuth County Iowa
35.3,Lee County Iowa
27.9,Linn County Iowa
32.6,Louisa County Iowa
31.9,Lucas County Iowa
30,Lyon County Iowa
30.8,Madison County Iowa
27.2,Mahaska County Iowa
29.8,Marion County Iowa
32,Marshall County Iowa
28.3,Mills County Iowa
27.4,Mitchell County Iowa
27.4,Monona County Iowa
33.8,Monroe County Iowa
32.2,Montgomery County Iowa
34,Muscatine County Iowa
30.5,O'Brien County Iowa
29.8,Osceola County Iowa
32.2,Page County Iowa
28.3,Palo Alto County Iowa
33.4,Plymouth County Iowa
30.1,Pocahontas County Iowa
28.2,Polk County Iowa
33.6,Pottawattamie County Iowa
29.4,Poweshiek County Iowa
30,Ringgold County Iowa
29.2,Sac County Iowa
28.5,Scott County Iowa
31.9,Shelby County Iowa
27.4,Sioux County Iowa
25.1,Story County Iowa
28.9,Tama County Iowa
31.2,Taylor County Iowa
33.1,Union County Iowa
30.2,Van Buren County Iowa
30.4,Wapello County Iowa
31,Warren County Iowa
30.4,Washington County Iowa
31.4,Wayne County Iowa
28.7,Webster County Iowa
28.7,Winnebago County Iowa
26.1,Winneshiek County Iowa
31,Woodbury County Iowa
29.7,Worth County Iowa
29.3,Wright County Iowa
34,Allen County Kansas
31.6,Anderson County Kansas
32,Atchison County Kansas
34.9,Barber County Kansas
34.4,Barton County Kansas
37.8,Bourbon County Kansas
34.3,Brown County Kansas
33.3,Butler County Kansas
32.2,Chase County Kansas
30.6,Chautauqua County Kansas
37.2,Cherokee County Kansas
32.1,Cheyenne County Kansas
31.9,Clark County Kansas
31.7,Clay County Kansas
32.7,Cloud County Kansas
35.2,Coffey County Kansas
30.4,Comanche County Kansas
34.2,Cowley County Kansas
35.7,Crawford County Kansas
32.5,Decatur County Kansas
33.7,Dickinson County Kansas
34.6,Doniphan County Kansas
25.1,Douglas County Kansas
34.8,Edwards County Kansas
33.8,Elk County Kansas
29.4,Ellis County Kansas
34,Ellsworth County Kansas
33.2,Finney County Kansas
34.3,Ford County Kansas
33.3,Franklin County Kansas
30,Geary County Kansas
29.5,Gove County Kansas
31.7,Graham County Kansas
33.5,Grant County Kansas
29,Gray County Kansas
30.7,Greeley County Kansas
33.5,Greenwood County Kansas
34,Hamilton County Kansas
28.8,Harper County Kansas
32.5,Harvey County Kansas
33.3,Haskell County Kansas
30.1,Hodgeman County Kansas
35.7,Jackson County Kansas
33.9,Jefferson County Kansas
33.8,Jewell County Kansas
23.2,Johnson County Kansas
32.6,Kearny County Kansas
30.9,Kingman County Kansas
29.3,Kiowa County Kansas
34.1,Labette County Kansas
36.4,Lane County Kansas
31.5,Leavenworth County Kansas
29.1,Lincoln County Kansas
33.7,Linn County Kansas
32.1,Logan County Kansas
32.3,Lyon County Kansas
30.3,McPherson County Kansas
31.1,Marion County Kansas
33,Marshall County Kansas
31.3,Meade County Kansas
30.7,Miami County Kansas
28.9,Mitchell County Kansas
33.8,Montgomery County Kansas
33,Morris County Kansas
33.6,Morton County Kansas
29.3,Nemaha County Kansas
34.2,Neosho County Kansas
28.7,Ness County Kansas
33.9,Norton County Kansas
36,Osage County Kansas
33.6,Osborne County Kansas
32.7,Ottawa County Kansas
34.6,Pawnee County Kansas
31.5,Phillips County Kansas
31.9,Pottawatomie County Kansas
31.1,Pratt County Kansas
35.2,Rawlins County Kansas
32.2,Reno County Kansas
29.5,Republic County Kansas
35.6,Rice County Kansas
26.5,Riley County Kansas
30.5,Rooks County Kansas
28,Rush County Kansas
31.3,Russell County Kansas
31.9,Saline County Kansas
29.5,Scott County Kansas
30,Sedgwick County Kansas
34.4,Seward County Kansas
32.6,Shawnee County Kansas
31.1,Sheridan County Kansas
32.4,Sherman County Kansas
30.8,Smith County Kansas
34,Stafford County Kansas
30.6,Stanton County Kansas
33.7,Stevens County Kansas
36.7,Sumner County Kansas
29.5,Thomas County Kansas
33.1,Trego County Kansas
34.3,Wabaunsee County Kansas
31.5,Wallace County Kansas
34.1,Washington County Kansas
33.7,Wichita County Kansas
34,Wilson County Kansas
29.3,Woodson County Kansas
39.3,Wyandotte County Kansas
33.9,Adair County Kentucky
33.8,Allen County Kentucky
34,Anderson County Kentucky
34.3,Ballard County Kentucky
31.4,Barren County Kentucky
34.4,Bath County Kentucky
32.1,Bell County Kentucky
29.8,Boone County Kentucky
33.2,Bourbon County Kentucky
33.9,Boyd County Kentucky
