County,Percent Smokers,State Ab,State,CountyState
Franklin County,25.5, Georgia, Georgia,Franklin County  Georgia
Fulton County,16.6, Georgia, Georgia,Fulton County  Georgia
Gilmer County,26.5, Georgia, Georgia,Gilmer County  Georgia
Glascock County,26.2, Georgia, Georgia,Glascock County  Georgia
Glynn County,22.7, Georgia, Georgia,Glynn County  Georgia
Gordon County,27.6, Georgia, Georgia,Gordon County  Georgia
Grady County,25.2, Georgia, Georgia,Grady County  Georgia
Greene County,23.9, Georgia, Georgia,Greene County  Georgia
Gwinnett County,16.9, Georgia, Georgia,Gwinnett County  Georgia
Habersham County,23.7, Georgia, Georgia,Habersham County  Georgia
Hall County,21.2, Georgia, Georgia,Hall County  Georgia
Hancock County,27.4, Georgia, Georgia,Hancock County  Georgia
