County,State,Life expectancy 2010
Montgomery County, Georgia,75.82
Morgan County, Georgia,77.31
Murray County, Georgia,75.19
Muscogee County, Georgia,74.75
Newton County, Georgia,75.97
Oconee County, Georgia,80.20
Oglethorpe County, Georgia,77.95
Paulding County, Georgia,78.11
Peach County, Georgia,73.82
Pickens County, Georgia,77.27
Pierce County, Georgia,74.64
Pike County, Georgia,76.01
Polk County, Georgia,73.83
Pulaski County, Georgia,76.47
Putnam County, Georgia,77.06
Quitman County, Georgia,75.66
Rabun County, Georgia,77.56
Randolph County, Georgia,74.68
Richmond County, Georgia,73.79
Rockdale County, Georgia,77.97
Schley County, Georgia,76.16
Screven County, Georgia,74.38
Seminole County, Georgia,74.90
Spalding County, Georgia,74.70
Stephens County, Georgia,74.85
Stewart County, Georgia,74.37
Sumter County, Georgia,74.92
Talbot County, Georgia,74.24
Taliaferro County, Georgia,75.21
Tattnall County, Georgia,74.85
Taylor County, Georgia,74.45
Telfair County, Georgia,75.72
Terrell County, Georgia,74.03
Thomas County, Georgia,75.27
Tift County, Georgia,75.46
Toombs County, Georgia,74.41
Towns County, Georgia,78.38
Treutlen County, Georgia,75.02
Troup County, Georgia,74.93
Turner County, Georgia,74.10
Twiggs County, Georgia,74.59
Union County, Georgia,78.39
Upson County, Georgia,73.89
Walker County, Georgia,75.25
Walton County, Georgia,76.38
Ware County, Georgia,74.35
Warren County, Georgia,74.21
Washington County, Georgia,74.96
Wayne County, Georgia,74.91
Webster County, Georgia,77.67
Wheeler County, Georgia,76.51
White County, Georgia,78.17
Whitfield County, Georgia,76.81
Wilcox County, Georgia,74.92
Wilkes County, Georgia,74.73
Wilkinson County, Georgia,74.84
Worth County, Georgia,76.59
Hawaii County, Hawaii,80.18
Honolulu County, Hawaii,81.39
Kalawao County, Hawaii,81.06
Kauai County, Hawaii,80.80
Maui County, Hawaii,81.06
Ada County, Idaho,80.71
Adams County, Idaho,80.42
Bannock County, Idaho,78.09
Bear Lake County, Idaho,78.60
Benewah County, Idaho,76.78
Bingham County, Idaho,78.52
Blaine County, Idaho,82.64
Boise County, Idaho,80.74
Bonner County, Idaho,79.20
Bonneville County, Idaho,79.01
Boundary County, Idaho,78.35
Butte County, Idaho,78.54
Camas County, Idaho,80.82
Canyon County, Idaho,78.94
Caribou County, Idaho,78.74
Cassia County, Idaho,78.81
Clark County, Idaho,78.14
Clearwater County, Idaho,78.58
Custer County, Idaho,80.07
Elmore County, Idaho,78.33
Franklin County, Idaho,80.22
Fremont County, Idaho,79.73
Gem County, Idaho,78.41
Gooding County, Idaho,78.10
Idaho County, Idaho,79.44
Jefferson County, Idaho,79.99
Jerome County, Idaho,78.33
Kootenai County, Idaho,79.45
Latah County, Idaho,80.81
Lemhi County, Idaho,79.28
Lewis County, Idaho,78.49
Lincoln County, Idaho,78.27
Madison County, Idaho,80.98
Minidoka County, Idaho,78.52
Nez Perce County, Idaho,78.03
Oneida County, Idaho,80.12
Owyhee County, Idaho,78.52
Payette County, Idaho,78.48
Power County, Idaho,78.44
Shoshone County, Idaho,75.96
Teton County, Idaho,81.77
Twin Falls County, Idaho,78.12
Valley County, Idaho,81.39
Washington County, Idaho,78.72
Adams County, Illinois,78.67
