State,County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010
Virginia,Henry County,30.3,7.25,75.82,23.8,968,5793,6761,10.9
Alabama,Houston County,34.9,7.25,76.7,24.5,5946,28719,34665,9.1
Georgia,Houston County,29.9,7.25,76.7,24.5,5946,28719,34665,9.1
Minnesota,Houston County,27.7,7.25,76.7,24.5,5946,28719,34665,9.1
Tennessee,Houston County,32.4,7.25,76.7,24.5,5946,28719,34665,9.1
Texas,Houston County,29.8,7.25,76.7,24.5,5946,28719,34665,9.1
Alabama,Jackson County,30,7.25,74.39,28.4,2154,15585,17739,11.8
Arkansas,Jackson County,37.1,7.25,74.39,28.4,2154,15585,17739,11.8
Colorado,Jackson County,21.8,7.78,74.39,28.4,2154,15585,17739,11.8
Florida,Jackson County,33.9,7.79,74.39,28.4,2154,15585,17739,11.8
Georgia,Jackson County,26.4,7.25,74.39,28.4,2154,15585,17739,11.8
Illinois,Jackson County,27.9,7.25,74.39,28.4,2154,15585,17739,11.8
Indiana,Jackson County,31.6,7.25,74.39,28.4,2154,15585,17739,11.8
Iowa,Jackson County,30.7,7.25,74.39,28.4,2154,15585,17739,11.8
Kansas,Jackson County,35.7,7.25,74.39,28.4,2154,15585,17739,11.8
Kentucky,Jackson County,37.5,7.25,74.39,28.4,2154,15585,17739,11.8
Michigan,Jackson County,34.4,7.25,74.39,28.4,2154,15585,17739,11.8
Minnesota,Jackson County,29.8,7.25,74.39,28.4,2154,15585,17739,11.8
Mississippi,Jackson County,33.1,7.25,74.39,28.4,2154,15585,17739,11.8
Missouri,Jackson County,32,7.35,74.39,28.4,2154,15585,17739,11.8
North Carolina,Jackson County,32.8,7.25,74.39,28.4,2154,15585,17739,11.8
Ohio,Jackson County,33.4,7.85,74.39,28.4,2154,15585,17739,11.8
Oklahoma,Jackson County,32.5,7.25,74.39,28.4,2154,15585,17739,11.8
Oregon,Jackson County,23.9,8.95,74.39,28.4,2154,15585,17739,11.8
